Species,Diet,BOW,BRW,AUD,MOB,HIP
Rousettus aegyptiacus,1,136.3,2070,9.88,105.77,125.97
Epomops franqueti,1,120,2210,10.44,107.8,159.8
Eonycteris spelaea,1,58.7,1310,5.48,67,97.7
Cynopterus sphinx,1,48.3,1184.33,4.77,65.27,95.4
Dobsonia praedatrix,1,184,3028,7.09,213.43,233.3
Glossophaga soricina,1,10.6,414,3.74,12.2,35
Leptonycteris curasoae,1,24.5,610,5.57,18.6,44.95
Macroglossus miniumus,1,14.6,561,2.4,30.05,52.95
Syconycteris australis,1,14.7,570,2.13,31.4,53.1
Nyctimene albiventer,1,29.7,825,4.56,68.93,81.4
Brachyphylla cavernarum,1,44.5,1196,8.63,42.2,78.8
Lionycteris spurrelli,1,9.9,393,3.71,10.3,29.5
Eidolon helvum,1,262,4290,12.77,208.7,258.1
Pteropus vampyrus,1,1014,9121,16.93,243.54,331.29
Anoura geofroyi,1,16,586,5.2,14.15,41.4
Phylloderma stenops,1,46.1,1338,10.2,87.4,91.7
Phyllostomus haustatus,1,90.1,1517,12.74,34.33,65.6
Mimon crenulatum,1,11.8,326,5.92,7.3,18.2
Trachops cirrhosus,1,36.9,1003,16.34,23.5,50.6
Tonatia bidens,1,27.67,684.67,13.37,17.96,28.3
Vampyrum spectrum,1,173,2587,27.6,92,110.4
Micronycteris brachyotis,1,8.98,319,4.19,13.85,17.1
Carollia perspicillata,1,17.8,546,5.27,23.55,40.75
Rhinophlylla pumilio,1,8.9,356,4.57,18.8,30.3
Sturnira lilium,1,20.2,618,4.77,30.77,49.73
Artibeus lituratus,1,41,1016,7.21,34.38,54.9
Uroderma bilobatum,1,16.2,612,5.98,28.7,42.7
Vampyrops vittatus,1,22.6,791,11.56,29.22,52.46
Chiroderma villosum,1,26.1,814,7.95,28.75,47.58
